"","Center.of.Mass.X...m.","Center.of.Mass.Y...m.","Area...m2.","Perimeter...m.","Circularity","PanEV","EpCAM","MET","SDC1","EGFR","ADAM10","CTSH","PDL1","HER2","image","celltype"
"2777",70.71375275,18.03041649,5.5,10.24264069,0.658792548,13819.09082,1038.45459,6091.09082,5044.54541,1428.363647,11090.5459,2117.09082,1711.090942,2428.363525,2,"KP"
"2778",18.46528053,18.35287476,16,18.48528137,0.588406844,14516.63965,1082.040039,4278.200195,3484.080078,2436.679932,5277.359863,2423.120117,2753.879883,2769.76001,2,"KP"
"2779",78.07125092,18.2438755,13,13.65685425,0.875894637,15835.65039,1050.050049,3346.550049,3981.850098,1829.400024,4822.549805,2571.300049,2273.699951,1974.349976,2,"KP"
"2780",9.776338577,18.60533905,20.5,20.72792206,0.599586977,14568.4668,929.2333374,8675.799805,4587.266602,2299.633301,11228.33301,2417.166748,4402.566895,2932.666748,2,"KP"
"2781",64.7296524,69.65100098,7,10.82842712,0.750200152,15030.53809,1598.538452,3732.615479,3357.538574,3098.230713,7958.230957,3342.692383,3925.307617,3944.230713,2,"KP"
"2782",1.33525002,70.02341461,6.5,10.24264069,0.778573011,14492,1109.166626,3901.75,4055.666748,2039.5,3703.5,2510.333252,2781.833252,1898.583374,2,"KP"
"2783",79.80162811,69.97799683,10,12.82842712,0.763594939,15024.88281,1148.882324,3070.411865,4333.646973,2052.588135,4231.353027,1852.529419,2929.882324,2967.117676,2,"KP"
"2784",14.06099987,71.32687378,12,14.48528137,0.718682779,14413.78906,1146.421021,3655.210449,3997.894775,1838,5458.526367,2677,2884.368408,2877.368408,2,"KP"
"2785",25.78097725,71.56097412,12.5,13.07106781,0.919385694,14634.63184,2937.315674,6230.736816,2881.210449,5121.684082,9469.473633,3974.631592,5335.736816,4336.631348,2,"KP"
"2786",52.83774948,72.23975372,11,13.65685425,0.741141616,14220.27734,1126.888916,3181.5,1941.055542,2374.722168,5743.722168,2153.722168,2474.5,2917.555664,2,"KP"
"2787",6.725795269,73.06220245,8.5,11.41421356,0.819854532,14069.40039,1473.533325,7483.533203,5326.399902,2493.333252,10815.13379,1782.466675,3878,2802.93335,2,"KP"
"2788",64.42445374,73.74394989,18.5,17.07106781,0.797737885,16777.66602,1179.888916,3785.740723,3691.333252,1999.296265,6287.592773,2170.296387,2364.148193,2474.407471,2,"KP"
"2789",52.25460052,74.04914856,10,12.48528137,0.806145057,16292.125,718.9375,1808.0625,3166.5,2059.4375,5688.25,3377.1875,3138,2537.5625,2,"KP"
"2790",71.40862274,20.02874947,11,12.82842712,0.839954433,15661.44434,1820.388916,6371.222168,4781.833496,1746.333374,10140.16699,2532.944336,2730.944336,1900.111084,2,"KP"
"2791",9.929480553,74.52455902,14.5,15.07106781,0.802213227,16993.81836,2079.863525,3942.227295,2989.95459,2988.818115,7995.63623,3088.772705,5728.59082,4436.40918,2,"KP"
"2792",25.27437592,20.38299942,11,13.65685425,0.741141616,17856.5,883.111084,7948.388672,6775.944336,2020,10787.94434,2827.444336,3503.555664,3263.388916,2,"KP"
"2793",41.22925186,74.92841339,6.5,10.24264069,0.778573011,17584.83398,1442.75,7648.583496,6322.25,1673.916626,12071.75,2182.5,4598.916504,5541.666504,2,"KP"
"2794",76.38594055,20.80851936,13.5,15.07106781,0.746888177,18632.71484,1094.142822,4292.761719,5060.952148,2038.19043,7049.952148,1920.857178,1859.428589,3241.571533,2,"KP"
"2795",75.82585144,75.71685028,11.5,17.07106781,0.495891118,15845.2998,1368.449951,4953.350098,4732.799805,1793.599976,13070.5,2007.650024,2193.649902,2308.149902,2,"KP"
"2796",8.546019554,75.5684433,11.5,14.24264069,0.712404523,19959.42188,1312.368408,5788.842285,4841.052734,2282.473633,9278.262695,2663.421143,2024.947388,2367.526367,2,"KP"
"2797",40.04582214,76.77492523,16,16.48528137,0.739838825,17576.66602,1962.625,4813.75,4003.125,2842.541748,7174.875,2208.625,3080.208252,3448.541748,2,"KP"
"2798",18.12125015,76.87225342,7.5,10.24264069,0.898353474,14293.61523,1407.153809,4210.461426,4710.922852,2815,8213,2433.384521,2056.769287,3254.846191,2,"KP"
"2799",4.605249882,77.17199707,11,12.82842712,0.839954433,17656.88867,1519.888916,6298.555664,5049.222168,2309.166748,7973,2278.555664,3975.555664,5092.5,2,"KP"
"2800",4.727875233,78.3301239,11,13.65685425,0.741141616,20971.94531,1469.888916,5276.722168,5172.611328,1641.111084,8528.055664,2315.333252,2883.777832,3170.722168,2,"KP"
"2801",43.24575043,21.59562492,12,13.65685425,0.808518127,12985.78906,1024.526367,4130.157715,4435.789551,1668.842163,8111,2257.736816,2464.526367,2750.368408,2,"KP"
"2802",48.03184128,78.56175232,7.5,12.24264069,0.628812144,13596.28613,1143.571411,4058.785645,3523.071533,1106.785767,5647.356934,1564.785767,3375.785645,3867,2,"KP"
"2803",70.3272934,79.08197784,10.5,12.24264069,0.880337002,14332.5293,1352.117676,2938.941162,4695.058594,3212.294189,7932.411621,2875.411865,2594.176514,2647,2,"KP"
"2804",25.05951881,79.80686188,12.5,14.24264069,0.774352743,16524.15039,1486.099976,6112.350098,4363.049805,2932.600098,8685.900391,2723.75,8343.700195,8076.200195,2,"KP"
"2805",30.9015007,81.2458725,10,12.82842712,0.763594939,17748.29492,1659.941162,5616.117676,5683,2357.823486,5753.529297,3791.764648,4635.529297,5126.882324,2,"KP"
"2806",39.4034996,23.54400063,15,15.3137085,0.803785877,33139.41016,1535.909058,4563.90918,4096.818359,5028.86377,6773.272949,5724.90918,6988.86377,10899.72754,2,"KP"
"2807",0.317916662,23.91641617,3.5,9.414213562,0.496260623,24729.88867,2840.333252,2293.222168,4212.111328,3124.777832,6975,3578.222168,2870.333252,4295.555664,2,"KP"
"2808",72.5286026,23.87100029,9,11.65685425,0.832318678,14841.2002,1760.06665,4905.200195,2394.600098,3663.733398,7647.399902,2763.199951,7237.533203,8610.066406,2,"KP"
"2809",49.25891495,24.13441658,4.5,9.414213562,0.638049372,16045,1072.5,2831.100098,3718.699951,3180.899902,4498.5,2267.399902,2742,2606.300049,2,"KP"
"2810",8.408571243,24.39653587,14,14.82842712,0.800106365,15007.5459,1751.590942,3421.09082,4473.318359,3428.09082,5577.59082,4230.36377,5786.45459,4660.04541,2,"KP"
"2811",63.08870316,24.97834015,7.5,11.41421356,0.723401058,18214.5,1416.214233,7555,7403.356934,2045.5,9486.642578,3812,3253.785645,7451.856934,2,"KP"
"2812",26.15999985,25.73957062,13,15.65685425,0.666414133,14061.9043,1442.095215,4891.19043,3981.714355,2109,6582.571289,3519.666748,4101.047852,2625,2,"KP"
"2813",81.37190247,26.56875038,13,18.48528137,0.478080561,27174.9082,2303.54541,5271.181641,3368.227295,3595.227295,5290.59082,3869.681885,3369.272705,2723,2,"KP"
"2814",50.96295166,28.10564995,7,10.82842712,0.750200152,13679.76953,1953.923096,6438.077148,4153.692383,2126.846191,9065.230469,2534.615479,3043.846191,3536.076904,2,"KP"
"2815",24.42962456,28.54437447,10,14.48528137,0.598902316,14895.94141,1547.647095,4117.17627,5481.764648,1713.705933,1835.823486,3760.823486,2869.294189,5324.706055,2,"KP"
"2816",7.127113819,28.99152184,9.5,13.07106781,0.698733127,18112.875,1307.9375,5761.875,2805.6875,2417.5,8047.25,2535.1875,2674.8125,2576.6875,2,"KP"
"2817",41.13841629,28.96674919,5.5,9.414213562,0.779838121,21402.18164,1252.818237,3870.54541,5637.54541,1983.363647,7836.45459,3535.818115,4004.272705,4593.45459,2,"KP"
